gsis_id,cfb_dominator,cfb_best_dominator,cfb_breakout_age,cfb_final_age,cfb_rec_yards,cfb_rush_yards,cfb_seasons
00-0036630,0.258242,0.258242,20.303901,21.305955,825.0,7.0,4.0
00-0036980,0.008929,0.218859,20.43258,20.43258,0.0,0.0,3.0
00-0036894,0.083784,0.083784,,21.853525,310.0,0.0,3.0
00-0036876,0.084409,0.085241,,22.433949,536.0,0.0,4.0
00-0036924,0.206263,0.206263,21.322382,21.322382,267.0,1245.0,4.0
00-0037012,,,,,,,
00-0036875,0.121295,0.121295,,22.521561,175.0,378.0,2.0
00-0036471,,,,,,,
00-0036988,0.11041,0.5,18.94319,20.944559,420.0,0.0,4.0
00-0037005,0.035639,0.035639,,20.249144,169.0,4.0,2.0
00-0036628,0.040456,0.040456,,22.819986,117.0,0.0,4.0
00-0036841,,,,,,,
00-0036637,0.045723,0.086207,,21.341547,217.0,3.0,4.0
00-0036887,0.0094,0.027817,,22.882957,26.0,0.0,4.0
00-0036775,,,,,,,
00-0036754,,,,,,,
00-0036497,,,,,,,
00-0038041,0.125796,0.243038,21.620808,22.620123,395.0,0.0,4.0
00-0038129,0.051838,0.242384,21.382615,22.38193,164.0,0.0,4.0
00-0037238,0.075,0.250165,19.107461,20.106776,0.0,0.0,3.0
00-0038098,0.343851,0.343851,22.726899,22.726899,8.0,138.0,1.0
00-0037666,0.0625,0.353829,21.511294,22.510609,0.0,0.0,4.0
00-0037741,0.218718,0.218718,21.445585,21.445585,1048.0,18.0,4.0
00-0037816,0.241453,0.325538,20.386037,21.385352,1037.0,4.0,4.0
00-0037157,,,,,,,
00-0037837,0.193771,0.193771,,22.442163,844.0,69.0,4.0
00-0038117,0.219714,0.219714,20.654346,20.654346,1168.0,111.0,3.0
00-0038046,0.120685,0.147201,,22.557153,478.0,0.0,4.0
00-0037258,0.156888,0.156888,,21.533196,206.0,515.0,4.0
00-0037744,0.180009,0.207301,20.77755,21.776865,884.0,69.0,4.0
00-0037838,0.164765,0.164765,,21.371663,605.0,10.0,4.0
00-0037263,0.302162,0.302162,21.379877,21.379877,165.0,1196.0,4.0
00-0037261,0.267008,0.338273,20.577687,21.577002,1083.0,129.0,4.0
00-0037742,0.223182,0.223182,21.442847,21.442847,1069.0,114.0,3.0
00-0037256,0.234999,0.302488,21.637235,22.63655,0.0,5.0,2.0
00-0037247,0.007351,0.093088,,20.495551,46.0,0.0,3.0
00-0037248,0.122224,0.122224,,21.935661,157.0,619.0,4.0
00-0038040,0.146097,0.241452,20.95551,21.954825,65.0,716.0,3.0
00-0037664,0.122048,0.128041,,21.333333,796.0,0.0,3.0
00-0037267,0.225238,0.225238,21.971253,21.971253,209.0,1238.0,4.0
00-0037239,0.184578,0.244383,20.180698,21.180014,754.0,0.0,4.0
00-0037805,0.051158,0.071648,,21.05681,249.0,0.0,4.0
00-0037740,0.118332,0.206797,20.112252,21.111567,970.0,76.0,3.0
00-0037614,0.17748,0.17748,,21.122519,1084.0,8.0,3.0
00-0037240,0.257676,0.257676,20.435318,20.435318,1356.0,5.0,3.0
00-0037840,0.240541,0.251747,20.016427,21.015743,359.0,1000.0,3.0
00-0038134,0.347712,0.347712,19.865845,20.865161,99.0,1595.0,3.0
00-0037746,0.214721,0.214721,22.447639,22.447639,268.0,1071.0,5.0
00-0038120,0.39047,0.39047,19.255305,20.25462,269.0,1419.0,3.0
00-0038102,0.260563,0.353226,22.239562,23.238877,0.0,0.0,5.0
00-0038128,0.482475,0.482475,21.273101,22.272416,60.0,1011.0,4.0
00-0037077,0.347357,0.347357,20.958248,20.958248,170.0,1051.0,3.0
00-0038124,,,,,,,
00-0038090,0.0,0.184483,,20.974675,0.0,0.0,3.0
00-0037252,0.146071,0.192907,,21.434634,721.0,0.0,4.0
00-0037086,0.103677,0.103677,,22.743326,494.0,0.0,4.0
00-0037355,,,,,,,
00-0037291,0.165318,0.210662,21.50308,22.502396,591.0,-3.0,4.0
00-0037304,0.060347,0.139051,,22.609172,287.0,0.0,5.0
00-0037834,0.180314,0.19129,,21.68104,88.0,337.0,4.0
00-0038104,0.171513,0.171513,,21.067762,892.0,0.0,4.0
00-0037557,,,,,,,
00-0037231,,,,,,,
00-0037091,0.152649,0.209208,21.292266,22.291581,628.0,70.0,5.0
00-0037197,,,,,,,
00-0037120,,,,,,,
00-0037085,0.37377,0.37377,22.565366,22.565366,330.0,1613.0,4.0
00-0037809,,,,,,,
00-0037755,0.139171,0.139171,,22.896646,591.0,1.0,4.0
00-0037509,,,,,,,
00-0038115,0.062198,0.085871,,20.941821,206.0,2.0,3.0
00-0037228,,,,,,,
00-0037276,0.233682,0.233682,23.307324,23.307324,208.0,1067.0,5.0
00-0037594,,,,,,,
00-0028118,,,,,,,
00-0027973,,,,,,,
00-0037525,,,,,,,
00-0037292,0.047445,0.047445,,23.096509,13.0,0.0,1.0
00-0037093,,,,,,,
00-0037475,,,,,,,
00-0037545,,,,,,,
00-0037112,,,,,,,
00-0037563,,,,,,,
00-0037801,,,,,,,
00-0039139,0.153547,0.170877,,20.451745,334.0,850.0,3.0
00-0038597,0.262184,0.262184,21.448323,22.447639,222.0,1534.0,5.0
00-0038555,0.237648,0.237648,18.006845,20.005476,168.0,917.0,3.0
00-0039040,0.080578,0.310584,19.88501,20.884326,0.0,12.0,3.0
00-0038389,0.126582,0.309808,19.906913,19.906913,0.0,-1.0,3.0
00-0039150,0.072769,0.072769,,21.103354,174.0,308.0,3.0
00-0039164,0.129552,0.129552,,20.279261,81.0,730.0,3.0
00-0038400,0.013889,0.165891,,22.346338,0.0,0.0,3.0
00-0038558,0.056199,0.056199,,21.040383,417.0,0.0,3.0
00-0038935,0.057249,0.057249,,21.678303,338.0,0.0,4.0
00-0039144,0.036204,0.054733,,21.995893,169.0,0.0,4.0
00-0039066,0.186113,0.186113,,21.155373,687.0,0.0,3.0
00-0038996,0.046639,0.046639,,21.826146,115.0,0.0,1.0
00-0038393,0.0,0.125243,,21.21013,0.0,0.0,3.0
00-0038606,0.103489,0.127838,,20.449008,611.0,8.0,3.0
00-0038543,0.006079,0.189209,,20.544832,43.0,0.0,3.0
00-0039052,0.198469,0.198469,,21.415469,1063.0,75.0,4.0
00-0039075,0.01812,0.14362,,21.259411,6.0,0.0,4.0
00-0038976,0.0,0.144713,,20.454483,0.0,0.0,3.0
00-0038938,0.120096,0.120096,,20.933607,955.0,0.0,3.0
00-0038477,,,,,,,
00-0038997,0.121389,0.198845,,21.054073,1000.0,0.0,3.0
00-0038621,0.221595,0.221595,21.730322,21.730322,990.0,105.0,4.0
00-0038977,,,,,,,
00-0038608,0.07797,0.199184,,20.320329,533.0,41.0,3.0
00-0038622,0.190041,0.339717,18.830938,20.829569,384.0,1449.0,3.0
00-0038951,,,,,,,
00-0039032,0.276828,0.276828,20.213552,21.212868,231.0,1349.0,4.0
00-0038542,0.379753,0.379753,19.586585,20.5859,314.0,1577.0,3.0
00-0038454,,,,,,,
00-0023459,,,,,,,
00-0039165,0.222118,0.249668,20.646133,21.645448,336.0,1368.0,4.0
00-0038544,0.108362,0.166667,,20.985626,762.0,-7.0,3.0
00-0038994,0.12901,0.174565,,20.594114,748.0,33.0,3.0
00-0038551,0.236253,0.236253,20.224504,20.224504,120.0,1347.0,3.0
00-0039163,0.137353,0.165743,,20.911704,93.0,136.0,2.0
00-0039064,,,,,,,
00-0039152,0.176565,0.204524,22.182067,23.181383,9.0,126.0,4.0
